Results of simulation:
t	Alpha	Beta	Min RMSE
97 	4.42 	4.42 	0.00 	4.40 	0.03 	0.03 	0.00 	0.85 	 0.06 	
98 	4.42 	4.42 	0.00 	4.42 	0.00 	-0.00 	0.00 	0.64 	 0.06 	
99 	4.42 	4.42 	0.00 	4.42 	0.00 	0.00 	0.00 	0.76 	 0.02 	
100 	4.41 	4.41 	0.00 	4.43 	0.02 	-0.02 	0.00 	0.75 	 0.28 	
101 	4.45 	4.44 	0.01 	4.42 	0.03 	0.03 	0.00 	0.95 	 0.22 	
102 	4.45 	4.45 	0.01 	4.45 	0.00 	-0.00 	0.00 	0.74 	 0.10 	
103 	4.41 	4.42 	0.01 	4.46 	0.05 	-0.05 	0.00 	0.89 	 0.06 	
104 	4.42 	4.42 	0.01 	4.42 	0.00 	-0.00 	0.00 	1.00 	 0.04 	
105 	4.40 	4.40 	0.00 	4.43 	0.03 	-0.03 	0.00 	0.70 	 0.25 	
106 	4.40 	4.40 	0.00 	4.40 	0.01 	-0.01 	0.00 	0.75 	 0.14 	
107 	4.40 	4.40 	0.00 	4.40 	0.00 	0.00 	0.00 	0.71 	 0.06 	
108 	4.40 	4.40 	0.00 	4.41 	0.01 	-0.01 	0.00 	0.75 	 0.39 	
109 	4.39 	4.40 	0.00 	4.40 	0.01 	-0.01 	0.00 	0.45 	 0.18 	
110 	4.37 	4.38 	-0.00 	4.40 	0.03 	-0.03 	0.00 	0.70 	 0.11 	
111 	4.36 	4.37 	-0.00 	4.38 	0.02 	-0.02 	0.00 	0.74 	 0.27 	
112 	4.38 	4.38 	0.00 	4.36 	0.02 	0.02 	0.00 	0.56 	 0.35 	
113 	4.38 	4.38 	0.00 	4.38 	0.00 	0.00 	0.00 	0.50 	 0.18 	
114 	4.36 	4.37 	-0.00 	4.38 	0.02 	-0.02 	0.00 	0.82 	 0.24 	
115 	4.37 	4.37 	-0.00 	4.37 	0.00 	0.00 	0.00 	0.23 	 0.38 	
116 	4.35 	4.36 	-0.00 	4.37 	0.02 	-0.02 	0.00 	0.77 	 0.03 	
117 	4.33 	4.34 	-0.00 	4.36 	0.03 	-0.03 	0.00 	0.73 	 0.06 	
118 	4.32 	4.33 	-0.00 	4.33 	0.01 	-0.01 	0.00 	0.86 	 0.34 	
119 	4.34 	4.34 	0.00 	4.32 	0.02 	0.02 	0.00 	0.32 	 0.22 	
120 	4.32 	4.33 	-0.00 	4.34 	0.02 	-0.02 	0.00 	0.59 	 0.16 	
121 	4.33 	4.33 	0.00 	4.33 	0.00 	0.00 	0.00 	0.97 	 0.06 	
122 	4.32 	4.32 	-0.00 	4.33 	0.01 	-0.01 	0.00 	0.61 	 0.20 	
123 	4.32 	4.32 	-0.00 	4.32 	0.00 	-0.00 	0.00 	0.69 	 0.62 	
